,ge,tc,tf,ln
547,547,0.28200000000000003,0.218,4.2
548,548,0.28500000000000003,0.218,4.2
549,549,0.289,0.21900000000000003,4.2
550,550,0.28900000000000003,0.21900000000000003,4.2
551,551,0.28500000000000003,0.21900000000000003,4.2
552,552,0.28400000000000003,0.21900000000000003,4.2
553,553,0.28400000000000003,0.21900000000000003,4.2
554,554,0.28500000000000003,0.21900000000000003,4.2
555,555,0.28500000000000003,0.21900000000000003,4.62
556,556,0.28900000000000003,0.218,4.62
557,557,0.28600000000000003,0.217,5.06
558,558,0.28300000000000003,0.218,5.06
559,559,0.28500000000000003,0.21600000000000003,4.62
560,560,0.287,0.217,4.62
561,561,0.28600000000000003,0.21600000000000005,4.62
562,562,0.28400000000000003,0.21600000000000005,4.62
563,563,0.28200000000000003,0.21800000000000005,4.62
564,564,0.28200000000000003,0.21800000000000005,4.62
565,565,0.28200000000000003,0.21800000000000005,4.62
566,566,0.281,0.21700000000000003,4.62
567,567,0.28,0.21700000000000003,4.62
568,568,0.281,0.21700000000000003,4.62
569,569,0.281,0.21700000000000003,4.62
570,570,0.281,0.21700000000000003,4.62
571,571,0.281,0.21700000000000003,4.62
572,572,0.281,0.21700000000000003,4.62
573,573,0.281,0.21700000000000003,4.62
574,574,0.281,0.21700000000000003,4.62
575,575,0.28,0.21800000000000005,4.62
576,576,0.279,0.221,4.2
577,577,0.279,0.221,4.2
578,578,0.278,0.221,4.2
579,579,0.279,0.222,4.2
580,580,0.28,0.222,4.2
581,581,0.2790000000000001,0.223,4.2
582,582,0.2790000000000001,0.223,4.2
583,583,0.278,0.22200000000000003,4.2
584,584,0.2770000000000001,0.221,4.2
585,585,0.2770000000000001,0.221,4.2
586,586,0.279,0.22200000000000003,4.2
587,587,0.279,0.222,4.2
588,588,0.278,0.222,4.2
589,589,0.277,0.222,4.2
590,590,0.276,0.221,4.2
591,591,0.278,0.22,4.2
592,592,0.278,0.221,4.2
593,593,0.279,0.222,4.2
594,594,0.279,0.222,4.2
595,595,0.28,0.22000000000000003,4.2
596,596,0.281,0.218,5.06
597,597,0.281,0.21700000000000003,5.06
598,598,0.2770000000000001,0.21700000000000003,5.06
599,599,0.275,0.21700000000000003,5.06
600,600,0.279,0.21900000000000003,5.06
601,601,0.281,0.21900000000000003,4.62
602,602,0.28,0.22000000000000003,4.62
603,603,0.278,0.21900000000000003,4.62
604,604,0.2770000000000001,0.21900000000000003,4.62
605,605,0.275,0.21900000000000003,4.62
606,606,0.276,0.21900000000000003,5.06
607,607,0.276,0.218,5.06
608,608,0.276,0.218,5.06
609,609,0.2770000000000001,0.21700000000000003,5.06
610,610,0.28,0.21900000000000003,5.06
611,611,0.2790000000000001,0.218,4.62
612,612,0.2790000000000001,0.218,4.62
613,613,0.2790000000000001,0.218,4.62
614,614,0.2790000000000001,0.21700000000000003,4.62
615,615,0.2790000000000001,0.21700000000000003,4.62
616,616,0.28,0.21600000000000005,4.62
617,617,0.28,0.21500000000000002,5.06
